자치구,위도,경도,대여소명
종로구,37.57579422,126.97145081,301.  경복궁역 7번출구 앞
종로구,37.57594681,126.97406006,302.  경복궁역 4번출구 뒤
종로구,37.57176971,126.97466278,303.  광화문역 1번출구 앞
종로구,37.57255936,126.97833252,305.  종로구청 옆
종로구,37.56999969,126.97109985,307.  서울역사박물관 앞
종로구,37.56996918,126.97393799,308.  광화문 S타워 앞
종로구,37.56996155,126.97615814,309.  광화문역 6번출구 옆 B
종로구,37.5797081,126.98085785,314.  국립현대미술관
종로구,37.57039642,126.98178864,316.  종각역 1번출구 앞
종로구,37.57624054,126.98616028,326.  안국역 5번출구 앞
종로구,37.57335663,126.9874649,327.  낙원상가 옆
종로구,37.57039642,126.9881897,328.  탑골공원 앞
종로구,37.56848526,126.98788452,329.  청계2가 사거리 옆
종로구,37.5705986,126.99179077,334.  종로3가역 2번출구 뒤
종로구,37.57019424,126.99165344,335.  종로3가역 15번출구 앞
종로구,37.57897949,126.99647522,337.  창경궁 입구
종로구,37.57095718,126.99712372,338. 세운스퀘어 앞
종로구,37.57106781,126.99819183,339.  종로4가 사거리
종로구,37.58562851,127.00067902,340.  혜화동 로터리
종로구,37.58156967,127.00178528,341.  혜화역 3번출구 뒤
종로구,37.57978439,127.00253296,342.  대학로 마로니에공원
종로구,37.57561111,127.00469971,343. 힐스테이트창경궁 아파트 앞
종로구,37.57419968,127.0065918,344.  성균관대 E하우스 앞
종로구,37.57330704,127.00070953,345.  서울보증보험본사 앞
종로구,37.57202911,126.96078491,348.  독립문역 사거리
종로구,37.57633209,126.96858978,349. 어린이도서관
종로구,37.58496857,126.97041321,351.  청운초교 앞 삼거리
종로구,37.58341599,126.98523712,352.  중앙고입구 삼거리
종로구,37.57938766,126.9849472,353.  재동초교 앞 삼거리
종로구,37.57915497,126.98896027,354.  포르투갈 대사관 앞
종로구,37.57650757,127.00245667,355. 서울사대부설초등학교 앞
종로구,37.57714462,127.00205994,356.  KT혜화지사 앞
종로구,37.58250046,126.99853516,358. 성균관대입구 사거리 A
종로구,37.57606125,126.99768066,359.  원남동사거리
종로구,37.57324219,127.01590729,361.  동묘앞역 1번출구 뒤
종로구,37.57219696,127.02304077,362.  청계8가 사거리 A
종로구,37.57559204,127.02285004,363.  신설동역 11번출구 뒤
종로구,37.57933426,127.01508331,364.  창신역 1번출구 앞
종로구,37.57415771,126.95851898,367.  독립문역 3-1번출구
종로구,37.5692482,126.98053741,368.  SK 서린빌딩 앞
종로구,37.56983566,126.98265839,385.  종각역 5번출구
종로구,37.58573532,127.0016098,388.  동성중학교 앞
종로구,37.57014084,127.00937653,393.  동대문역 8번 출구
종로구,37.56748962,126.96591949,394.  경희궁 자이 3단지
종로구,37.56885529,126.96456146,395.  경희궁 자이 2단지
종로구,37.57048035,126.99663544,397.  종묘공영주차장 건너편
종로구,37.60012817,126.95783234,446.  상명대입구
종로구,37.60399246,126.96194458,447.  신영동삼거리
종로구,37.60871887,126.97286224,449.  일성아파트
종로구,37.58360291,126.97254944,450.  효자동 삼거리
종로구,37.58351517,126.97966766,451.  청와대앞길
종로구,37.57123947,127.00440979,452.  동대문 종합시장 버스정류장
종로구,37.57114029,127.00067139,453.  종로오가 지하쇼핑센터 14번출구
종로구,37.57035828,126.98638153,454.  종로2가 버스정류장 (종각방향)
종로구,37.570961,127.00605774,455.  종로6가역 버스정류장(동대문 방향)
종로구,37.57447052,127.0198288,456.  숭인2동 주민센터 입구
종로구,37.57131958,127.00720978,457.  종로꽃시장 입구 옆
종로구,37.56989288,126.97756958,458.  광화문역 5번출구
종로구,37.57436371,126.97236633,461.  서울지방경찰청
종로구,37.58419037,126.98169708,464.  삼청동 골목
종로구,37.58760452,126.9835968,465.  삼청공원 앞
종로구,37.60627365,126.96832275,486.  평창동주민센터 앞
종로구,37.57376099,127.0139389,3401. 창신두산아파트
종로구,37.57660675,127.00556946,3402. 이화공영주차장
종로구,37.57185364,127.00235748,3404. 서울특별시 중부교육지원청
종로구,37.57455063,126.97055054,3405. 파크팰리스
