맛집명,경도,위도
고성막국수,126.816128838129,37.5774423477276
강촌숯불닭갈비 본점,126.891714600611,37.5044324804593
길풍식당,126.897365632427,37.5359336052322
대관원,126.897906297847,37.5294124502066
당산마루 능이버섯삼계탕,126.899748268402,37.5361472067901
원조호수삼계탕,126.904140670924,37.5030499932501
주오일식당,126.905032372607,37.5550213730909
동일루,126.905567945655,37.5538237462899
프롬하노이,126.905877030082,37.5564214784265
삼거리순대국,126.907241817617,37.491720153466
순대일번지,126.907464580208,37.5586712614622
소금집델리 망원,126.908235891395,37.5568240087168
대문점,126.908575915427,37.5186045707693
라멘베라보,126.90966969503,37.5537428023198
퓨전 선술집,126.912512343403,37.5494610579074
퓨전선술집,126.912512343403,37.5494610579074
옥동식,126.914236925093,37.5525592336377
우동 카덴,126.915068576637,37.5516855965118
리치몬드과자점 성산동지점,126.915620050544,37.5614143292105
리치몬드과자점 성산본점,126.915620050544,37.5614143292105
리틀파파포 합정본점,126.916424292681,37.548775348618
로칸다몽로,126.916688799577,37.5531072640414
마산족발,126.91811330099,37.557937966982
밤새우리,126.918690796393,37.5492314847664
갈현시장할머니떡볶이,126.918765858296,37.6234840551845
빠넬로,126.918955201674,37.549390332349
이치류,126.919172136773,37.5506484547921
이치류 홍대본점,126.919172136773,37.5506484547921
어메이징타일랜드,126.919173887529,37.5542668634359
남도마루,126.919665809662,37.5275117444834
남도마루 여의도동점,126.919665809662,37.5275117444834
옹달샘 본점,126.91971236648,37.5484563340551
미담진족,126.919841981265,37.55042357178
당인식당,126.920214893456,37.5456167267571
달콤한거짓말,126.920598381875,37.548075810797
맛이차이나,126.920858592344,37.5475998077326
쿄베이커리,126.920919021138,37.5480277324488
쿄베이커리 홍대점,126.920712431931,37.5479854271783
바다회사랑,126.921061101833,37.5604147426721
소고산제일루,126.921296860667,37.5521258150144
치치 상수점,126.921363344877,37.547980816861
육통령,126.921449300999,37.5500745240722
정인면옥,126.921557576182,37.5306561597093
옴팡집,126.921969207155,37.5302893644917
이미,126.921915516345,37.5574746371768
펠앤콜,126.92216581335,37.5481634403528
사모님돈가스,126.922271363077,37.548084041808
금화로불고기,126.922299577147,37.5568783403231
시루케이크,126.922664633434,37.5458626173661
초마,126.923407147142,37.5508731936877
하카다분코,126.92377466672,37.5489170939315
하카타분코,126.92377466672,37.5489170939315
